product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Малина,7694.0,839,Фрукты,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2022-01-22,2030-03-21,1.93,Pending
2,Пакеты для Дня влюбленных,8176.0,179,Товары для дома,Поддерживает иммунитет и общее состояние здоровья.,2008-02-08,2009-02-16,2.47,Returned
3,Эскалоп,5126.0,88,Мясо,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2014-04-15,2015-02-03,3.49,Sold
4,Айран,3730.0,379,Молочные продукты,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",1994-01-25,1999-08-03,2.27,Awaiting Review
5,Клубника,3104.0,104,Фрукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2003-03-04,2013-02-20,3.89,Awaiting Payment
6,Сибирская,2710.0,204,Напитки,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1994-04-07,1998-02-06,4.37,Sold
7,Российский сыр,9237.0,404,Молочные продукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2020-03-03,2021-01-16,1.49,Shipping
8,Буррито с мясом,3749.0,988,Мясо,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2015-03-21,2023-01-01,1.56,Delivered
9,Шпинат,9076.0,242,Овощи,Способствует улучшению работы пищеварительной системы.,1999-10-05,2000-05-06,1.17,Sold
10,Котлеты,1806.0,868,Мясо,Отличается натуральным составом и отсутствием искусственных добавок.,1994-03-17,2029-02-03,0.43,Awaiting Payment
11,Котлеты,2208.0,6,Мясо,Прошел сертификацию на соответствие требованиям органических стандартов.,2010-03-07,2016-08-09,3.35,Temporarily Unavailable
12,Пакеты для Дня знаний,5521.0,587,Товары для дома,Подходит для использования в рецептах традиционной кухни разных стран.,2019-02-10,2026-01-02,0.72,Refunded
13,Утка,7756.0,476,Мясо,Помогает поддерживать нормальный уровень триглицеридов в крови.,2001-02-14,2016-03-13,4.74,Out of Stock
14,Пакеты для Рождества,6967.0,716,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1996-04-01,2007-01-13,3.64,Temporarily Unavailable
15,Кристалл Байкала,1563.0,428,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2014-01-14,2021-10-15,4.92,Refunded
16,Цветная капуста,2881.0,146,Овощи,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2020-01-28,2022-06-01,4.74,Available for Pickup
17,Красногорская,2712.0,863,Напитки,Помогает поддерживать нормальный уровень электролитов в организме.,1999-02-15,2003-01-02,2.17,Awaiting Payment
18,Ростовская-на-Дону,3536.0,132,Напитки,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2003-01-12,2008-10-20,2.57,Available for Pickup
19,Картофель,2999.0,968,Овощи,Способствует поддержанию нормальной микрофлоры кишечника.,2020-02-05,2028-03-18,2.53,Cancelled
20,Груша,3255.0,936,Фрукты,Является важным компонентом сбалансированного рациона питания.,2011-04-02,2024-12-11,3.15,Pending
21,Сыр,2694.0,422,Молочные продукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2018-03-05,2025-01-06,3.8,Refunded
22,Тульская,7608.0,88,Напитки,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2002-03-01,2017-04-01,1.06,Returned
23,Груша,4015.0,982,Фрукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2010-03-15,2014-04-18,0.61,Temporarily Unavailable
24,Варенец,5059.0,543,Молочные продукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,1993-05-24,2017-02-01,0.44,Out of Stock
25,Молочный шоколад,3104.0,876,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,1996-02-07,2003-01-04,4.82,Out of Stock
26,Горох,871.0,629,Овощи,Отличается способностью повышать общий тонус и работоспособность.,2013-02-14,2015-02-02,4.77,Sold
27,Укроп сушеный,8890.0,992,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1993-07-22,2011-01-13,2.12,Awaiting Payment
28,"Экзотические виды мяса (например, страус, кенгуру)",3975.0,337,Мясо,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2003-01-14,2016-02-01,3.49,Shipping
29,Безалкогольный мохито,2168.0,605,Напитки,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2002-05-03,2003-02-01,1.96,Refunded
30,Банан,4844.0,731,Фрукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2018-01-16,2022-03-06,2.89,Awaiting Payment
31,Пакеты для Всемирного дня поэзии,2796.0,139,Товары для дома,Отличается высокой степенью очистки и отсутствия посторонних примесей.,1992-06-06,2030-01-12,0.65,On Backorder
