product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Monster Energy,2358,446,Напитки,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2004-01-13,2011-03-06,3.0,Available for Pickup
2,"Орехи (грецкий орех, миндаль, фундук)",2772,805,Бакалея,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1997-03-15,2009-08-01,0.38,In Stock
3,Мелисса сушеная,3654,167,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2001-07-01,2012-03-01,0.36,Temporarily Unavailable
4,Пельмени,5413,73,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1999-01-09,2026-04-08,3.48,New
5,Ливерная колбаса,3112,654,Мясо,Служит основой для создания множества кулинарных шедевров.,2014-01-09,2027-06-07,2.71,Shipping
6,Ленинградская,7524,933,Напитки,"Богат кальцием, необходимым для укрепления костей и зубов.",2008-07-03,2013-02-04,2.7,Pending
7,Тан,9440,263,Молочные продукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2012-03-09,2028-05-01,4.08,Awaiting Review
8,Макароны,9451,740,Бакалея,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2000-02-28,2014-09-09,0.88,Temporarily Unavailable
9,Ананас,2554,702,Фрукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2006-05-04,2011-01-16,2.2,Sold
10,Кольраби,3120,43,Овощи,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2013-07-24,2019-02-17,4.33,Pending
11,Серебряный ключ,4722,177,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2009-01-05,2016-01-06,4.69,On Backorder
12,Сардельки,2521,899,Мясо,Подходит для использования в качестве основы для смузи и коктейлей.,2010-01-07,2028-09-01,0.6,Out of Stock
13,Щавель,5133,598,Овощи,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2021-03-13,2029-03-20,2.01,Returned
14,Сельдерей,9335,477,Овощи,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",1998-05-06,2022-03-03,1.5,New
15,Якутская,4973,928,Напитки,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2016-01-11,2025-01-02,3.77,Awaiting Payment
16,Сливки,6344,107,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2011-01-04,2021-05-15,1.86,Returned
17,Каша из дробленной кукурузной крупы,4209,905,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2004-02-05,2030-03-06,1.64,Sold
18,Роллы с мясом,3573,194,Мясо,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2022-09-06,2025-08-16,1.32,Temporarily Unavailable
19,Грейпфрут,8092,9,Фрукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2008-03-10,2014-04-23,3.43,Temporarily Unavailable
20,Брынза,4659,625,Молочные продукты,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2004-01-10,2007-03-05,0.3,Available for Pickup
21,Курт,6007,115,Молочные продукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1993-03-05,1995-07-24,1.48,Cancelled
22,Петрушка корневая,2807,986,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2009-12-07,2019-08-01,0.98,Refunded
23,"Сухофрукты (изюм, курага, чернослив)",1701,662,Бакалея,Отличается удобством использования и экономичностью в расходе.,2006-02-02,2028-05-15,3.82,Awaiting Review
24,Каша из дробленного риса,7468,355,Бакалея,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2014-09-16,2019-01-09,0.6,Awaiting Payment
25,Пакеты для пикников,890,915,Товары для дома,Может использоваться в косметических процедурах для увлажнения кожи.,2013-09-03,2028-03-11,0.65,In Stock
26,Катык,1419,186,Молочные продукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2001-06-05,2015-01-01,3.18,Pending
27,Полотенца кухонные,558,385,Товары для дома,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2006-11-10,2015-05-03,4.11,In Stock
28,Старый источник,8230,605,Напитки,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2017-02-05,2021-02-05,3.26,Shipping
29,Пакеты для Дня отца,8163,602,Товары для дома,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2002-06-08,2007-02-09,0.27,Available for Pickup
30,Салфетки сухие,2532,747,Товары для дома,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,1996-02-10,2020-04-05,1.28,Shipping
31,Кабачок,5212,384,Овощи,Является важным элементом спортивного питания для восстановления после тренировок.,2004-06-05,2026-02-07,1.81,Returned
32,Ройбос,5585,243,Напитки,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2003-04-04,2007-03-21,2.06,Temporarily Unavailable
33,Schweppes Tonic Water,4569,51,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2022-05-05,2030-01-02,2.73,In Stock
34,Каша из дробленной кускусовой крупы,2066,710,Бакалея,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2001-01-14,2009-02-12,2.08,Awaiting Review
35,Каша из перловки,1420,439,Бакалея,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1997-02-09,2011-05-16,3.4,Temporarily Unavailable
36,Крыжовник,4398,242,Фрукты,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2001-01-23,2014-02-01,2.82,Cancelled
37,Свекла,459,681,Овощи,Является важным компонентом сбалансированного рациона питания.,2017-02-04,2025-01-07,3.33,Refunded
38,Патиссон,8094,214,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1999-01-17,2030-02-12,2.88,Cancelled
39,Груша,4253,387,Фрукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1990-01-05,2008-02-02,4.35,Awaiting Review
40,Пакеты для семинара,3442,622,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2006-02-13,2019-02-19,0.03,Backorder
41,Кабан,974,730,Мясо,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2019-06-08,2029-05-26,0.55,In Stock
42,Вымя,1103,846,Мясо,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1995-01-05,2027-01-05,1.54,In Stock
43,Ялтинская,5431,710,Напитки,Прошел строгий контроль качества на всех этапах производства.,1993-06-06,2010-05-20,5.0,Available for Pickup
44,Донат магний,5939,415,Напитки,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2007-01-26,2030-12-07,2.42,Delivered
45,Портулак,1052,24,Овощи,Подходит для использования в рационе людей с повышенным давлением.,1992-03-02,2008-01-01,2.8,Available for Pickup
46,Крыжовник,2131,269,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2019-01-18,2019-04-02,2.0,Out of Stock
